file,description
body_side_plate_left.stl,?????
body_side_plate_right.stl,?????
L1_crank_H1_A_L.stl,L1_crank_H1_A L
L1_crank_H1_A_R.stl,L1_crank_H1_A R
L2_coupler_A_B_L.stl,L2_coupler_A_B L
L2_coupler_A_B_R.stl,L2_coupler_A_B R
L3_thigh_H0_B_L.stl,L3_thigh_H0_B L
L3_thigh_H0_B_R.stl,L3_thigh_H0_B R
L4_shank_B_F_L.stl,L4_shank_B_F L
L4_shank_B_F_R.stl,L4_shank_B_F R
L5_rear_rocker_H2_F_L.stl,L5_rear_rocker_H2_F L
L5_rear_rocker_H2_F_R.stl,L5_rear_rocker_H2_F R
foot_pad_L.stl,foot_pad L
foot_pad_R.stl,foot_pad R
tail_rod_L.stl,tail_rod L
tail_rod_R.stl,tail_rod R
axle_H0.stl,M3??? H0
axle_H1.stl,M3??? H1
axle_H2.stl,M3??? H2
axle_A.stl,M3??? A
axle_B.stl,M3??? B
axle_F.stl,M3??? F
axle_T.stl,M3??? T
gear_motor_placeholder.stl,??????
winding_drum.stl,???
release_servo_placeholder.stl,??????
latch_placeholder.stl,????
kangaroo_robot_basic_assembly.stl,???????? STL
